"Date","Price","Open","High","Low","Vol.","Change %"
"11/04/2022","121.80","122.50","129.00","117.50","9.72M","-1.14%"
"11/03/2022","123.20","114.50","125.00","108.80","13.02M","7.69%"
"11/02/2022","114.40","111.50","118.00","108.00","11.61M","6.02%"
"11/01/2022","107.90","100.00","107.90","99.70","12.34M","9.93%"
"10/31/2022","98.15","89.40","98.15","89.40","9.24M","9.97%"
"10/28/2022","89.25","89.45","90.25","88.30","1.56M","-0.22%"
"10/27/2022","89.45","89.00","91.50","87.85","6.25M","1.07%"
"10/26/2022","88.50","90.00","90.95","87.95","4.38M","-0.67%"
"10/25/2022","89.10","87.85","90.25","84.25","8.29M","1.42%"
"10/24/2022","87.85","90.35","92.45","87.40","6.70M","-2.71%"
"10/21/2022","90.30","92.00","92.30","89.80","4.71M","-1.74%"
"10/20/2022","91.90","90.35","97.20","87.15","23.89M","1.77%"
"10/19/2022","90.30","93.20","93.50","89.50","5.80M","-2.90%"
"10/18/2022","93.00","96.40","96.50","88.05","6.98M","-1.59%"
"10/17/2022","94.50","92.80","97.40","92.50","8.60M","2.49%"
"10/14/2022","92.20","88.20","94.00","88.00","7.96M","6.04%"
"10/13/2022","86.95","90.00","91.90","85.80","10.48M","-3.71%"
"10/12/2022","90.30","93.80","96.70","89.00","21.49M","-0.50%"
"10/11/2022","90.75","84.95","90.75","84.60","9.75M","10.00%"
"10/10/2022","82.50","75.45","82.50","72.50","14.97M","10.00%"
"10/07/2022","75.00","74.00","75.20","72.00","6.49M","3.31%"
"10/06/2022","72.60","75.00","76.00","71.25","10.62M","-0.14%"
"10/05/2022","72.70","69.15","72.80","69.15","9.91M","7.15%"
"10/04/2022","67.85","65.90","69.65","64.70","14.20M","5.85%"
"10/03/2022","64.10","59.00","64.10","57.45","11.23M","9.95%"
"09/30/2022","58.30","59.30","60.00","56.75","8.26M","-0.34%"
"09/29/2022","58.50","56.60","60.50","55.05","11.99M","3.82%"
"09/28/2022","56.35","61.40","62.50","56.00","12.98M","-3.01%"
"09/27/2022","58.10","53.80","58.10","53.70","10.87M","9.93%"
"09/26/2022","52.85","48.84","53.50","48.04","11.07M","8.30%"
"09/23/2022","48.80","46.48","49.96","45.96","10.03M","5.58%"
"09/22/2022","46.22","44.28","47.74","44.26","8.48M","4.66%"
"09/21/2022","44.16","44.24","44.80","43.70","2.92M","-0.18%"
"09/20/2022","44.24","43.16","44.88","43.04","4.20M","2.55%"
"09/19/2022","43.14","43.80","45.00","43.14","3.06M","-1.33%"
"09/16/2022","43.72","42.82","43.84","42.72","2.06M","2.10%"
"09/15/2022","42.82","43.48","43.76","42.62","2.24M","-1.29%"
"09/14/2022","43.38","42.20","43.68","41.00","3.81M","2.75%"
"09/13/2022","42.22","44.00","44.10","42.22","3.46M","-3.96%"
"09/12/2022","43.96","44.08","45.00","43.34","5.20M","0.09%"
"09/09/2022","43.92","43.30","45.68","43.30","4.85M","1.53%"
"09/08/2022","43.26","44.62","44.76","43.24","4.52M","-1.50%"
"09/07/2022","43.92","42.88","46.48","42.40","11.46M","2.43%"
"09/06/2022","42.88","45.10","45.42","42.86","6.89M","-4.80%"
"09/05/2022","45.04","46.50","47.72","44.68","7.60M","-3.01%"
"09/02/2022","46.44","47.00","49.70","45.10","11.92M","-1.19%"
"09/01/2022","47.00","45.36","47.86","43.60","12.68M","7.98%"
"08/31/2022","43.52","41.68","44.63","41.68","14.04M","7.27%"
"08/29/2022","40.57","37.68","40.57","37.36","10.90M","9.95%"
"08/26/2022","36.90","36.79","38.25","36.35","8.29M","2.81%"
"08/25/2022","35.89","35.97","36.79","35.68","3.21M","0.16%"
"08/24/2022","35.84","36.67","36.69","35.55","2.97M","-1.88%"
"08/23/2022","36.52","35.93","36.83","35.78","3.46M","1.64%"
"08/22/2022","35.93","35.74","36.41","35.34","1.89M","0.53%"
"08/19/2022","35.74","36.44","36.50","35.47","3.08M","-2.14%"
"08/18/2022","36.52","35.55","37.11","35.02","6.21M","3.67%"
"08/17/2022","35.23","35.36","36.24","35.09","2.97M","0.16%"
"08/16/2022","35.17","35.76","36.24","33.99","3.37M","-1.65%"
"08/15/2022","35.76","34.64","37.09","34.43","7.04M","3.24%"
"08/12/2022","34.64","34.92","35.65","34.39","3.49M","-0.82%"
"08/11/2022","34.92","35.40","35.68","34.39","6.34M","0.55%"
"08/10/2022","34.73","32.30","35.51","31.90","14.11M","7.54%"
"08/09/2022","32.30","32.35","33.32","32.16","3.98M","0.65%"
"08/08/2022","32.09","32.73","33.23","31.86","7.60M","-2.37%"
"08/05/2022","32.87","29.88","32.87","29.50","17.83M","10.00%"
"08/04/2022","29.88","29.50","30.07","29.40","2.31M","1.49%"
"08/03/2022","29.44","29.57","29.69","29.31","1.43M","0.45%"
"08/02/2022","29.31","29.50","30.07","29.19","4.73M","0.46%"
"08/01/2022","29.17","28.83","29.19","28.76","1.37M","1.32%"
"07/29/2022","28.79","28.98","29.00","28.72","1.04M","0.20%"
"07/28/2022","28.74","28.78","29.50","28.66","2.59M","0.20%"
"07/27/2022","28.68","28.72","28.79","28.55","890.80K","0.27%"
"07/26/2022","28.60","28.81","29.67","28.55","2.52M","-0.60%"
"07/25/2022","28.78","28.79","29.21","28.66","927.62K","-0.07%"
"07/22/2022","28.79","29.06","29.33","28.74","997.27K","-0.85%"
"07/21/2022","29.04","29.04","29.40","29.02","826.16K","-0.13%"
"07/20/2022","29.08","29.31","29.42","29.04","1.10M","-0.52%"
"07/19/2022","29.23","29.59","29.73","29.02","1.41M","-0.13%"
"07/18/2022","29.27","29.52","29.69","29.17","1.10M","-0.65%"
"07/14/2022","29.46","30.68","30.89","29.42","1.68M","-3.85%"
"07/13/2022","30.64","29.59","31.14","29.57","3.20M","4.21%"
"07/08/2022","29.40","29.12","29.96","28.83","1.04M","0.98%"
"07/07/2022","29.12","28.68","29.16","28.64","740.05K","1.59%"
"07/06/2022","28.66","28.64","29.08","28.51","848.25K","0.40%"
"07/05/2022","28.55","28.91","29.08","28.49","987.12K","-0.71%"
"07/04/2022","28.75","29.07","29.36","28.69","2.22M","-0.66%"
"07/01/2022","28.94","28.50","29.43","28.24","2.32M","1.67%"
"06/30/2022","28.47","28.92","29.21","28.47","1.91M","-1.38%"
"06/29/2022","28.87","29.36","29.53","28.64","1.97M","0.53%"
"06/28/2022","28.71","28.87","29.07","28.11","2.12M","-0.33%"
"06/27/2022","28.81","28.71","29.62","28.68","1.67M","-2.13%"
